time_d,Q10,sample,temp_range,,latitude,longitude,MAT,MAP_mm,Meas_method
1.57,2.86,gully,5_15,tundra,46.7833,9.8667,1.4,1047,IRGA
6.02,2.61,gully,5_15,,,,,,
9.42,2.45,gully,5_15,,,,,,
14.1,2.16,gully,5_15,,,,,,
19.6,1.76,gully,5_15,,,,,,
27.7,1.42,gully,5_15,,,,,,
35.9,1.32,gully,5_15,,,,,,
43.7,2.05,gully,5_15,,,,,,
52.1,1.76,gully,5_15,,,,,,
59.7,1.51,gully,5_15,,,,,,
68.1,1.69,gully,5_15,,,,,,
75.9,1.63,gully,5_15,,,,,,
84,1.26,gully,5_15,,,,,,
91.6,2.06,gully,5_15,,,,,,
100,1.79,gully,5_15,,,,,,
1.31,2.06,gully,15_25,,,,,,
5.5,2.08,gully,15_25,,,,,,
9.69,1.84,gully,15_25,,,,,,
13.6,1.72,gully,15_25,,,,,,
19.4,2.25,gully,15_25,,,,,,
27.7,2.17,gully,15_25,,,,,,
35.3,2.37,gully,15_25,,,,,,
43.5,1.87,gully,15_25,,,,,,
51.8,1.72,gully,15_25,,,,,,
59.7,2.24,gully,15_25,,,,,,
67.8,2.09,gully,15_25,,,,,,
75.7,2.1,gully,15_25,,,,,,
83.5,2.59,gully,15_25,,,,,,
91.4,2.28,gully,15_25,,,,,,
99.5,2.42,gully,15_25,,,,,,
1.55,2.13,ridge,5_15,,,,,,
5.68,2.56,ridge,5_15,,,,,,
10.1,2.61,ridge,5_15,,,,,,
13.7,2.19,ridge,5_15,,,,,,
19.6,1.93,ridge,5_15,,,,,,
28.2,1.75,ridge,5_15,,,,,,
35.9,1.73,ridge,5_15,,,,,,
43.9,2.09,ridge,5_15,,,,,,
52.2,1.87,ridge,5_15,,,,,,
59.9,1.9,ridge,5_15,,,,,,
68.2,2.17,ridge,5_15,,,,,,
76,2.23,ridge,5_15,,,,,,
83.7,2.22,ridge,5_15,,,,,,
92.2,2.1,ridge,5_15,,,,,,
100,2.53,ridge,5_15,,,,,,
1.29,2.34,ridge,15_25,,,,,,
5.68,2.06,ridge,15_25,,,,,,
9.56,2.22,ridge,15_25,,,,,,
13.7,2.07,ridge,15_25,,,,,,
19.6,2.2,ridge,15_25,,,,,,
27.6,1.99,ridge,15_25,,,,,,
35.7,1.66,ridge,15_25,,,,,,
43.7,2.15,ridge,15_25,,,,,,
51.9,2.16,ridge,15_25,,,,,,
59.9,2.38,ridge,15_25,,,,,,
68,2.33,ridge,15_25,,,,,,
76,2.32,ridge,15_25,,,,,,
84,2.3,ridge,15_25,,,,,,
92,2.36,ridge,15_25,,,,,,
100,2.32,ridge,15_25,,,,,,