"Study_number","Respiration_type","Authors","Title","Source","Volume","Issue","BP","EP","PubYear","Notes","Citations","DE","DLD","DOI","nonEnglish","Rank","SearchDate","SearchTerm"
6540,"heterotrophic","Suseela, Vidya; Conant, Richard T.; Wallenstein, Matthew D.; Dukes, Jeffrey S.","Effects of soil moisture on the temperature sensitivity of heterotrophic respiration vary seasonally in an old-field climate change experiment","GLOBAL CHANGE BIOLOGY","18","1","336","348",2012,"","","Y","Y","10.1111/j.1365-2486.2011.02516.x","N",1,"1/15/2013","(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"")"
5526,"heterotrophic","Dhital, D; Yashiro, Y; Ohtsuka, T; Noda, H; Shizu, Y; Koizumi, H","Carbon dynamics and budget in a Zoysia japonica grassland, central Japan","JOURNAL OF PLANT RESEARCH","123","4","519","530",2010,"","0","Y","Y","10.1007/s10265-009-0289-6","N",1,"8/25/2010",""
5524,"heterotrophic","Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea","JOURNAL OF PLANT RESEARCH","123","4","485","495",2010,"","1","Y","Y","10.1007/s10265-010-0316-7","N",1,"8/25/2010",""
5522,"heterotrophic","Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H","Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower","JOURNAL OF PLANT RESEARCH","123","4","463","472",2010,"","0","Y","Y","10.1007/s10265-010-0323-8","N",1,"8/25/2010",""
5317,"heterotrophic","Ruehr, NK; Buchmann, N","Soil respiration fluxes in a temperate mixed forest: seasonality and temperature sensitivities differ among microbial and root-rhizosphere respiration","TREE PHYSIOLOGY","30","2","165","176",2010,"","0","Y","Y","10.1093/treephys/tpp106","N",1,"8/25/2010",""
5824,"heterotrophic","Liang, N; Hirano, T; Zheng, ZM; Tang, J; Fujinuma, Y","Soil CO2 efflux of a larch forest in northern Japan","BIOGEOSCIENCES","7","11","3447","3457",2010,"","","Y","Y","10.5194/bg-7-3447-2010","N",1,"","Topic=(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"") AND Year Published=(2010)"
6090,"heterotrophic","Luan, JW; Liu, SR; Wang, JX; Zhu, XL; Shi, ZM","Rhizospheric and heterotrophic respiration of a warm-temperate oak chronosequence in China","SOIL BIOLOGY & BIOCHEMISTRY","43","3","503","512",2011,"","","Y","Y","10.1016/j.soilbio.2010.11.010","N",1,"2/14/2012","Topic=(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"") AND Year Published=(2010)"
5866,"heterotrophic","Franck, N; Morales, JP; Arancibia-Avendano, D; de Cortazar, VG; Perez-Quezada, JF; Zurita-Silva, A; Pastenes, C","Seasonal fluctuations in Vitis vinifera root respiration in the field","NEW PHYTOLOGIST","192","4","939","951",2011,"","","Y","Y","10.1111/j.1469-8137.2011.03860.x","N",1,"2/14/2012","Topic=(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"") AND Year Published=(2010)"
5927,"heterotrophic","Chen, DM; Zhang, CL; Wu, JP; Zhou, LX; Lin, YB; Fu, SL","Subtropical plantations are large carbon sinks: Evidence from two monoculture plantations in South China","AGRICULTURAL AND FOREST METEOROLOGY","151","9","1214","1225",2011,"","","Y","Y","10.1016/j.agrformet.2011.04.011","N",1,"2/14/2012","Topic=(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"") AND Year Published=(2010)"
6029,"heterotrophic","Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components","AGRICULTURAL AND FOREST METEOROLOGY","151","5","633","643",2011,"","","Y","Y","10.1016/j.agrformet.2011.01.012","N",2,"2/14/2012","Topic=(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"") AND Year Published=(2010)"
5876,"heterotrophic","Zhao, CY; Zhao, ZM; Yilihamu; Hong, Z; Jun, L","Contribution of root and rhizosphere respiration of Haloxylon ammodendron to seasonal variation of soil respiration in the Central Asian desert","QUATERNARY INTERNATIONAL","244","2","304","309",2011,"","","Y","Y","10.1016/j.quaint.2010.11.004","N",1,"2/14/2012","Topic=(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"") AND Year Published=(2010)"
4340,"heterotrophic","Hu, QW; Wu, Q; Cao, GM; Li, D; Long, RJ; Wang, YS","Growing season ecosystem respirations and associated component fluxes in two alpine meadows on the Tibetan Plateau","JOURNAL OF INTEGRATIVE PLANT BIOLOGY","50","3","271","279",2008,"","","Y","Y","10.1111/j.1744-7909.2007.00617.x","N",2,"3/14/2009","Topic=((q10 and soil and co2) not ""soil respiration"") AND Year Published=(2008)"
6334,"heterotrophic","Heinemeyer, A.; Wilkinson, M.; Vargas, R.; Subke, J. -A.; Casella, E.; Morison, J. I. L.; Ineson, P.","Exploring the ""overflow tap"" theory: linking forest soil CO2 fluxes and individual mycorrhizosphere components to photosynthesis","BIOGEOSCIENCES","9","1","79","95",2012,"","","Y","Y","10.5194/bg-9-79-2012","N",1,"1/15/2013","(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"")"
7517,"heterotrophic","Tomotsune, Mitsutoshi; Yoshitake, Shinpei; Watanabe, Shinya; Koizumi, Hiroshi","Separation of root and heterotrophic respiration within soil respiration by trenching, root biomass regression, and root excising methods in a cool-temperate deciduous forest in Japan","ECOLOGICAL RESEARCH","28","2","259","269",2013,"","1","Y","Y","10.1007/s11284-012-1013-x","N",1,"",""
7587,"heterotrophic","Wang, Wei; Zeng, Wenjing; Chen, Weile; Yang, Yuanhe; Zeng, Hui","Effects of Forest Age on Soil Autotrophic and Heterotrophic Respiration Differ between Evergreen and Deciduous Forests","PLOS ONE","8","11","","",2013,"","0","Y","Y","10.1371/journal.pone.0080937","N",1,"",""
7150,"heterotrophic","Li, Xudong; Zhang, Chunping; Fu, Hua; Guo, Ding; Song, Xiongru; Wan, Changgui; Ren, Jizhou","Grazing exclusion alters soil microbial respiration, root respiration and the soil carbon balance in grasslands of the Loess Plateau, northern China","SOIL SCIENCE AND PLANT NUTRITION","59","6","877","887",2013,"","0","Y","Y","10.1080/00380768.2013.862157","N",1,"",""
6548,"heterotrophic","Tian, Xiang-Yu; Tu, Li-Hua; Hu, Ting-Xing; Zhang, Jian; He, Yuan-Yang; Xiao, Yin-Long","[Characteristics of soil respiration components and their temperature sensitivity in a Pleioblastus amarus plantation in rainy area of West China].","Ying yong sheng tai xue bao = The journal of applied ecology / Zhongguo sheng tai xue xue hui, Zhongguo ke xue yuan Shenyang ying yong sheng tai yan jiu suo zhu ban","23","2","293","300",2012,"","","Y","Y","","N",1,"1/15/2013","(""soil respiration"" or ""soil surface co2 flux"" or ""soil co2 efflux"")"
6822,"heterotrophic","De Simon, G.; Alberti, G.; Delle Vedove, G.; Peressotti, A.; Zaldei, A.; Miglietta, F.","Short-term cropland responses to temperature extreme events during late winter","BIOGEOSCIENCES","10","8","5545","5553",2013,"","0","Y","Y","10.5194/bg-10-5545-2013","N",2,"",""
7491,"heterotrophic","Tan, Zheng-Hong; Zhang, Yi-Ping; Liang, Naishen; Song, Qing-Hai; Liu, Yu-Hong; You, Guang-Yong; Li, Lin-Hui; Yu, Lei; Wu, Chuan-Shen; Lu, Zhi-Yun; Wen, Han-Dong; Zhao, Jun-Fu; Gao, Fu; Yang, Lian-Yan; Song, Liang; Zhang, Yong-Jiang; Munemasa, Teramoto; Sha, Li-Qing","Soil respiration in an old-growth subtropical forest: Patterns, components, and controls","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES","118","7","2981","2990",2013,"","1","Y","Y","10.1002/jgrd.50300","N",2,"",""
8896,"heterotrophic","Wei, Hui; Chen, Xiaomei; Xiao, Guoliang; Guenet, Bertrand; Vicca, Sara; Shen, Weijun","Are variations in heterotrophic soil respiration related to changes in substrate availability and microbial biomass carbon in the subtropical forests?","SCIENTIFIC REPORTS","5","","","",2015,"","","Y","Y","10.1038/srep18370","N",2,"1/13/2017",""
10087,"heterotrophic","Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan","Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest","APPLIED SOIL ECOLOGY","86","","148","157",2015,"","","Y","Y","10.1016/j.apsoil.2014.10.013","N",1,"1/13/2017",""
10104,"heterotrophic","Hinko-Najera, Nina; Fest, Benedikt; Livesley, Stephen J.; Arndt, Stefan K.","Reduced throughfall decreases autotrophic respiration, but not heterotrophic respiration in a dry temperate broadleaved evergreen forest","AGRICULTURAL AND FOREST METEOROLOGY","200","","66","77",2015,"","","Y","Y","10.1016/j.agrformet.2014.09.013","N",1,"1/13/2017",""
10342,"heterotrophic","Peng, F.; You, Q. G.; Xu, M. H.; Zhou, X. H.; Wang, T.; Guo, J.; Xue, X.","Effects of experimental warming on soil respiration and its components in an alpine meadow in the permafrost region of the Qinghai-Tibet Plateau","EUROPEAN JOURNAL OF SOIL SCIENCE","66","1","145","154",2015,"","","Y","Y","10.1111/ejss.12187","N",2,"1/13/2017",""
10075,"heterotrophic","Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng","Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China","FOREST ECOLOGY AND MANAGEMENT","337","","119","125",2015,"","","Y","Y","10.1016/j.foreco.2014.11.009","N",1,"1/13/2017",""
10351,"heterotrophic","Shi, Baoku; Gao, Weifeng; Jin, Guangze","Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China","EUROPEAN JOURNAL OF SOIL BIOLOGY","66","","11","18",2015,"","","Y","Y","10.1016/j.ejsobi.2014.11.003","N",1,"1/13/2017",""
10362,"heterotrophic","Pellegrino, Elisa; Bosco, Simona; Ciccolini, Valentina; Pistocchi, Chiara; Sabbatini, Tiziana; Silvestri, Nicola; Bonari, Enrico","Agricultural abandonment in Mediterranean reclaimed peaty soils: long-term effects on soil chemical properties, arbuscular mycorrhizas and CO2 flux","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","199","","164","175",2015,"","","Y","Y","10.1016/j.agee.2014.09.004","N",2,"1/13/2017",""
7527,"heterotrophic","Tu, Li-hua; Hu, Ting-xing; Zhang, Jian; Li, Xian-wei; Hu, Hong-ling; Liu, Li; Xiao, Yin-long","Nitrogen addition stimulates different components of soil respiration in a subtropical bamboo ecosystem","SOIL BIOLOGY & BIOCHEMISTRY","58","","255","264",2013,"","7","Y","Y","10.1016/j.soilbio.2012.12.005","N",1,"",""
7868,"heterotrophic","Sun, Zhenzhong; Liu, Lingli; Ma, Yuecun; Yin, Guodong; Zhao, Chuang; Zhang, Yuan; Piao, Shilong","The effect of nitrogen addition on soil respiration from a nitrogen-limited forest soil","AGRICULTURAL AND FOREST METEOROLOGY","197","","103","110",2014,"","1","Y","Y","10.1016/j.agrformet.2014.06.010","N",1,"12/24/2015","“soil respiration”"
7477,"heterotrophic","Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye","Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System","PEDOSPHERE","23","6","752","766",2013,"","0","Y","Y","10.1016/S1002-0160(13)60067-3","N",1,"",""
7721,"heterotrophic","Liu, Ying; Han, Shijie","Diurnal and seasonal variations in soil respiration in a temperate broad-leaved Korean Pine forest, China","PROGRESS IN ENVIRONMENTAL PROTECTION AND PROCESSING OF RESOURCE, PTS 1-4","295-298","","2318","2323",2013,"","0","Y","Y","10.4028/www.scientific.net/AMM.295-298.2318","N",2,"",""
7678,"heterotrophic","Zhang, Quan; Lei, Hui-Min; Yang, Da-Wen","Seasonal variations in soil respiration, heterotrophic respiration and autotrophic respiration of a wheat and maize rotation cropland in the North China Plain","AGRICULTURAL AND FOREST METEOROLOGY","180","","34","43",2013,"","0","Y","Y","10.1016/j.agrformet.2013.04.028","N",1,"",""
7689,"heterotrophic","Zhao Zhi-Min; Zhao Cheng-Yi; Yilihamu, Y.; Li Ju-Yan; Li Jun","Contribution of Root Respiration to Total Soil Respiration in a Cotton Field of Northwest China","PEDOSPHERE","23","2","223","228",2013,"","0","Y","Y","10.1016/S1002-0160(13)60010-7","N",1,"",""
10006,"heterotrophic","Yu, Lei; Wang, Yujie; Wang, Yunqi; Sun, Suqi; Liu, Liziyuan","Quantifying Components of Soil Respiration and Their Response to Abiotic Factors in Two Typical Subtropical Forest Stands, Southwest China","PLOS ONE","10","2","","",2015,"","","Y","Y","10.1371/journal.pone.0117490","N",1,"1/13/2017",""
10460,"heterotrophic","Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia","Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China","SCIENCE OF THE TOTAL ENVIRONMENT","607","","160","167",2017,"","","Y","Y","10.1016/j.scitotenv.2017.06.194","N",1,"1/29/2018","""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution"""
10464,"heterotrophic","Shi, Wei-Yu; Du, Sheng; Morina, Joseph C.; Guan, Jin-Hong; Wang, Kai-Bo; Ma, Ming-Guo; Yamanaka, Norikazu; Tateno, Ryunosuke","Physical and biogeochemical controls on soil respiration along a topographical gradient in a semiarid forest","AGRICULTURAL AND FOREST METEOROLOGY","247","","1","11",2017,"","","Y","Y","10.1016/j.agrformet.2017.07.006","N",1,"1/29/2018","""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution"""
10465,"heterotrophic","Wang, Dong; He, Heliang; Gao, Qiao; He, Wei; Zhao, Chunzhang; Yin, Huajun; Liu, Qing","Effects of short-term N addition on soil C fluxes in alpine Sibiraea angustata scrub on the eastern margin of the Qinghai-Tibetan Plateau","AGRICULTURAL AND FOREST METEOROLOGY","247","","151","158",2017,"","","Y","Y","10.1016/j.agrformet.2017.07.026","N",1,"1/29/2018","""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution"""
10467,"heterotrophic","Wang, Hui; Liu, Shirong; Wang, Jingxin; Li, Dejun; Shi, Zuomin; Liu, Yanchun; Xu, Jia; Hong, Pizheng; Yu, Haolong; Zhao, Zhang; Ming, Angang; Lu, Lihua; Cai, Daoxiong","Contrasting responses of heterotrophic and root-dependent respiration to soil warming in a subtropical plantation","AGRICULTURAL AND FOREST METEOROLOGY","247","","221","228",2017,"","","Y","Y","10.1016/j.agrformet.2017.07.025","N",1,"1/29/2018","""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution"""
10472,"heterotrophic","Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan","AGRICULTURAL AND FOREST METEOROLOGY","247","","560","570",2017,"","","Y","Y","10.1016/j.agrformet.2017.09.002","N",1,"1/29/2018","""soil respiration"" OR ""soil surface CO2 flux"" OR ""soil co2 evolution"""
