Study_number,Respiration_type,Authors,Title,Q10,respiration_type,treatment,sample,notes
4340,heterotrophic,"Hu, QW; Wu, Q; Cao, GM; Li, D; Long, RJ; Wang, YS",Growing season ecosystem respirations and associated component fluxes in two alpine meadows on the Tibetan Plateau,NA,,,,
5317,heterotrophic,"Ruehr, NK; Buchmann, N",Soil respiration fluxes in a temperate mixed forest: seasonality and temperature sensitivities differ among microbial and root-rhizosphere respiration,3.2,Ra,,annual,
5317,heterotrophic,"Ruehr, NK; Buchmann, N",Soil respiration fluxes in a temperate mixed forest: seasonality and temperature sensitivities differ among microbial and root-rhizosphere respiration,2.3,Rh,,annual,contribution of roots was higher in growing season than dormant
5522,heterotrophic,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,1.9,Ra,,,
5522,heterotrophic,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,2.5,Ra,,,
5522,heterotrophic,"Yashiro, Y; Lee, NYM; Ohtsuka, T; Shizu, Y; Saitoh, TM; Koizumi, H",Biometric-based estimation of net ecosystem production in a mature Japanese cedar (Cryptomeria japonica) plantation beneath a flux tower,2.2,Ra,,,
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",5.9,Ra,,2005,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.7,Ra,,2006,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.2,Ra,,2005,stand q
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.5,Ra,,2006,stand q
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",3.8,Rh,,2005,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",3.1,Rh,,2006,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",3.4,Rh,,2005,stand q
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",2.8,Rh,,2006,stand q
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",4.3,Rs,,2005,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",3.5,Rs,,2006,stand a
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",3.6,Rs,,2005,stand q
5524,heterotrophic,"Lee, NY; Koo, JW; Noh, NJ; Kim, J; Son, Y","Autotrophic and heterotrophic respiration in needle fir and Quercus-dominated stands in a cool-temperate forest, central Korea",3.2,Rs,,2006,stand q
5526,heterotrophic,"Dhital, D; Yashiro, Y; Ohtsuka, T; Noda, H; Shizu, Y; Koizumi, H","Carbon dynamics and budget in a Zoysia japonica grassland, central Japan",2.2,Ra,,,
5526,heterotrophic,"Dhital, D; Yashiro, Y; Ohtsuka, T; Noda, H; Shizu, Y; Koizumi, H","Carbon dynamics and budget in a Zoysia japonica grassland, central Japan",2.4,Rs,,,
5824,heterotrophic,"Liang, N; Hirano, T; Zheng, ZM; Tang, J; Fujinuma, Y",Soil CO2 efflux of a larch forest in northern Japan,2.9,Ra,,,
5824,heterotrophic,"Liang, N; Hirano, T; Zheng, ZM; Tang, J; Fujinuma, Y",Soil CO2 efflux of a larch forest in northern Japan,3.5,Rh,,,
5824,heterotrophic,"Liang, N; Hirano, T; Zheng, ZM; Tang, J; Fujinuma, Y",Soil CO2 efflux of a larch forest in northern Japan,3.1,Rs,,,
5866,heterotrophic,"Franck, N; Morales, JP; Arancibia-Avendano, D; de Cortazar, VG; Perez-Quezada, JF; Zurita-Silva, A; Pastenes, C",Seasonal fluctuations in Vitis vinifera root respiration in the field,3.5,Ra,,,
5866,heterotrophic,"Franck, N; Morales, JP; Arancibia-Avendano, D; de Cortazar, VG; Perez-Quezada, JF; Zurita-Silva, A; Pastenes, C",Seasonal fluctuations in Vitis vinifera root respiration in the field,1.6,Rh,,,
5876,heterotrophic,"Zhao, CY; Zhao, ZM; Yilihamu; Hong, Z; Jun, L",Contribution of root and rhizosphere respiration of Haloxylon ammodendron to seasonal variation of soil respiration in the Central Asian desert,1.94,Ra,,,
5876,heterotrophic,"Zhao, CY; Zhao, ZM; Yilihamu; Hong, Z; Jun, L",Contribution of root and rhizosphere respiration of Haloxylon ammodendron to seasonal variation of soil respiration in the Central Asian desert,1.42,Rh,,,
5927,heterotrophic,"Chen, DM; Zhang, CL; Wu, JP; Zhou, LX; Lin, YB; Fu, SL",Subtropical plantations are large carbon sinks: Evidence from two monoculture plantations in South China,NA,,,,
6029,heterotrophic,"Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components",1.19,Ra,,potato,
6029,heterotrophic,"Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components",1.76,Ra,,wheat,
6029,heterotrophic,"Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components",1.19,Ra,,beet,
6029,heterotrophic,"Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components",2.17,Rh,,potato,
6029,heterotrophic,"Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components",2.11,Rh,,wheat,
6029,heterotrophic,"Suleau, M; Moureaux, C; Dufranne, D; Buysse, P; Bodson, B; Destain, JP; Heinesch, B; Debacq, A; Aubinet, M","Respiration of three Belgian crops: Partitioning of total ecosystem respiration in its heterotrophic, above- and below-ground autotrophic components",2.05,Rh,,beet,
6090,heterotrophic,"Luan, JW; Liu, SR; Wang, JX; Zhu, XL; Shi, ZM",Rhizospheric and heterotrophic respiration of a warm-temperate oak chronosequence in China,2.78,Ra,,,
6090,heterotrophic,"Luan, JW; Liu, SR; Wang, JX; Zhu, XL; Shi, ZM",Rhizospheric and heterotrophic respiration of a warm-temperate oak chronosequence in China,3.93,Rh,,,
6334,heterotrophic,"Heinemeyer, A.; Wilkinson, M.; Vargas, R.; Subke, J. -A.; Casella, E.; Morison, J. I. L.; Ineson, P.","Exploring the ""overflow tap"" theory: linking forest soil CO2 fluxes and individual mycorrhizosphere components to photosynthesis",3.9,Ra,,,
6334,heterotrophic,"Heinemeyer, A.; Wilkinson, M.; Vargas, R.; Subke, J. -A.; Casella, E.; Morison, J. I. L.; Ineson, P.","Exploring the ""overflow tap"" theory: linking forest soil CO2 fluxes and individual mycorrhizosphere components to photosynthesis",2.7,Rh,,,
6334,heterotrophic,"Heinemeyer, A.; Wilkinson, M.; Vargas, R.; Subke, J. -A.; Casella, E.; Morison, J. I. L.; Ineson, P.","Exploring the ""overflow tap"" theory: linking forest soil CO2 fluxes and individual mycorrhizosphere components to photosynthesis",3.2,Rs,,,
6540,heterotrophic,"Suseela, Vidya; Conant, Richard T.; Wallenstein, Matthew D.; Dukes, Jeffrey S.",Effects of soil moisture on the temperature sensitivity of heterotrophic respiration vary seasonally in an old-field climate change experiment,2.07,Rh,control,,
6548,heterotrophic,"Tian, Xiang-Yu; Tu, Li-Hua; Hu, Ting-Xing; Zhang, Jian; He, Yuan-Yang; Xiao, Yin-Long",[Characteristics of soil respiration components and their temperature sensitivity in a Pleioblastus amarus plantation in rainy area of West China].,2.28,litter,,,
6548,heterotrophic,"Tian, Xiang-Yu; Tu, Li-Hua; Hu, Ting-Xing; Zhang, Jian; He, Yuan-Yang; Xiao, Yin-Long",[Characteristics of soil respiration components and their temperature sensitivity in a Pleioblastus amarus plantation in rainy area of West China].,3.19,Ra,,,
6548,heterotrophic,"Tian, Xiang-Yu; Tu, Li-Hua; Hu, Ting-Xing; Zhang, Jian; He, Yuan-Yang; Xiao, Yin-Long",[Characteristics of soil respiration components and their temperature sensitivity in a Pleioblastus amarus plantation in rainy area of West China].,3.09,Rh,,,
6548,heterotrophic,"Tian, Xiang-Yu; Tu, Li-Hua; Hu, Ting-Xing; Zhang, Jian; He, Yuan-Yang; Xiao, Yin-Long",[Characteristics of soil respiration components and their temperature sensitivity in a Pleioblastus amarus plantation in rainy area of West China].,2.9,Rs,,,
6822,heterotrophic,"De Simon, G.; Alberti, G.; Delle Vedove, G.; Peressotti, A.; Zaldei, A.; Miglietta, F.",Short-term cropland responses to temperature extreme events during late winter,1.63,Rh,control,,
7150,heterotrophic,"Li, Xudong; Zhang, Chunping; Fu, Hua; Guo, Ding; Song, Xiongru; Wan, Changgui; Ren, Jizhou","Grazing exclusion alters soil microbial respiration, root respiration and the soil carbon balance in grasslands of the Loess Plateau, northern China",NA,,,,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.81,Ra,FLN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,1.93,Ra,ALN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.51,Ra,FNN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.25,Ra,control,2006_2007,control
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,1.8,Ra,FLN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.87,Ra,ALN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.09,Ra,FNN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.52,Ra,control,2007_2008,control
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.3,Rh,FLN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.02,Rh,ALN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.84,Rh,FNN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.04,Rh,control,2006_2007,control
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.3,Rh,FLN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.28,Rh,ALN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3.26,Rh,FNN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.73,Rh,control,2007_2008,control
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.92,Rs,FLN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.67,Rs,ALN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.93,Rs,FNN,2006_2007,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.77,Rs,control,2006_2007,control
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.57,Rs,FLN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,3,Rs,ALN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.94,Rs,FNN,2007_2008,
7477,heterotrophic,Sun Hui-Feng; Zhu Jian-Guo; Xie Zu-Bin; Liu Gang; Tang Hao-Ye,Effect of Atmospheric CO2 Enrichment on Soil Respiration in Winter Wheat Growing Seasons of a Rice-Wheat Rotation System,2.8,Rs,ANN,2007_2008,
7491,heterotrophic,"Tan, Zheng-Hong; Zhang, Yi-Ping; Liang, Naishen; Song, Qing-Hai; Liu, Yu-Hong; You, Guang-Yong; Li, Lin-Hui; Yu, Lei; Wu, Chuan-Shen; Lu, Zhi-Yun; Wen, Han-Dong; Zhao, Jun-Fu; Gao, Fu; Yang, Lian-Yan; Song, Liang; Zhang, Yong-Jiang; Munemasa, Teramoto; Sha, Li-Qing","Soil respiration in an old-growth subtropical forest: Patterns, components, and controls",7.22,litter,,,
7491,heterotrophic,"Tan, Zheng-Hong; Zhang, Yi-Ping; Liang, Naishen; Song, Qing-Hai; Liu, Yu-Hong; You, Guang-Yong; Li, Lin-Hui; Yu, Lei; Wu, Chuan-Shen; Lu, Zhi-Yun; Wen, Han-Dong; Zhao, Jun-Fu; Gao, Fu; Yang, Lian-Yan; Song, Liang; Zhang, Yong-Jiang; Munemasa, Teramoto; Sha, Li-Qing","Soil respiration in an old-growth subtropical forest: Patterns, components, and controls",1.65,Ra,,,
7491,heterotrophic,"Tan, Zheng-Hong; Zhang, Yi-Ping; Liang, Naishen; Song, Qing-Hai; Liu, Yu-Hong; You, Guang-Yong; Li, Lin-Hui; Yu, Lei; Wu, Chuan-Shen; Lu, Zhi-Yun; Wen, Han-Dong; Zhao, Jun-Fu; Gao, Fu; Yang, Lian-Yan; Song, Liang; Zhang, Yong-Jiang; Munemasa, Teramoto; Sha, Li-Qing","Soil respiration in an old-growth subtropical forest: Patterns, components, and controls",2.73,som,,,
7517,heterotrophic,"Tomotsune, Mitsutoshi; Yoshitake, Shinpei; Watanabe, Shinya; Koizumi, Hiroshi","Separation of root and heterotrophic respiration within soil respiration by trenching, root biomass regression, and root excising methods in a cool-temperate deciduous forest in Japan",7.5,Ra,,,
7517,heterotrophic,"Tomotsune, Mitsutoshi; Yoshitake, Shinpei; Watanabe, Shinya; Koizumi, Hiroshi","Separation of root and heterotrophic respiration within soil respiration by trenching, root biomass regression, and root excising methods in a cool-temperate deciduous forest in Japan",3.2,Rh,,,
7527,heterotrophic,"Tu, Li-hua; Hu, Ting-xing; Zhang, Jian; Li, Xian-wei; Hu, Hong-ling; Liu, Li; Xiao, Yin-long",Nitrogen addition stimulates different components of soil respiration in a subtropical bamboo ecosystem,3.19,Ra,control,,
7527,heterotrophic,"Tu, Li-hua; Hu, Ting-xing; Zhang, Jian; Li, Xian-wei; Hu, Hong-ling; Liu, Li; Xiao, Yin-long",Nitrogen addition stimulates different components of soil respiration in a subtropical bamboo ecosystem,3.09,Rh,control,,
7527,heterotrophic,"Tu, Li-hua; Hu, Ting-xing; Zhang, Jian; Li, Xian-wei; Hu, Hong-ling; Liu, Li; Xiao, Yin-long",Nitrogen addition stimulates different components of soil respiration in a subtropical bamboo ecosystem,2.28,rl,control,,
7527,heterotrophic,"Tu, Li-hua; Hu, Ting-xing; Zhang, Jian; Li, Xian-wei; Hu, Hong-ling; Liu, Li; Xiao, Yin-long",Nitrogen addition stimulates different components of soil respiration in a subtropical bamboo ecosystem,2.87,Rs,control,,
