Study_number,Respiration_type,Authors,Title,Q10,respiration_type,treatment,sample,notes
7587,heterotrophic,"Wang, Wei; Zeng, Wenjing; Chen, Weile; Yang, Yuanhe; Zeng, Hui",Effects of Forest Age on Soil Autotrophic and Heterotrophic Respiration Differ between Evergreen and Deciduous Forests,2.98,Ra,,larch,
7587,heterotrophic,"Wang, Wei; Zeng, Wenjing; Chen, Weile; Yang, Yuanhe; Zeng, Hui",Effects of Forest Age on Soil Autotrophic and Heterotrophic Respiration Differ between Evergreen and Deciduous Forests,2.76,Ra,,pine,
7587,heterotrophic,"Wang, Wei; Zeng, Wenjing; Chen, Weile; Yang, Yuanhe; Zeng, Hui",Effects of Forest Age on Soil Autotrophic and Heterotrophic Respiration Differ between Evergreen and Deciduous Forests,3.85,Rh,,larch,
7587,heterotrophic,"Wang, Wei; Zeng, Wenjing; Chen, Weile; Yang, Yuanhe; Zeng, Hui",Effects of Forest Age on Soil Autotrophic and Heterotrophic Respiration Differ between Evergreen and Deciduous Forests,2.61,Rh,,pine,
7678,heterotrophic,"Zhang, Quan; Lei, Hui-Min; Yang, Da-Wen","Seasonal variations in soil respiration, heterotrophic respiration and autotrophic respiration of a wheat and maize rotation cropland in the North China Plain",2.69,Ra,,wheat,
7678,heterotrophic,"Zhang, Quan; Lei, Hui-Min; Yang, Da-Wen","Seasonal variations in soil respiration, heterotrophic respiration and autotrophic respiration of a wheat and maize rotation cropland in the North China Plain",2.85,Ra,,maize,
7678,heterotrophic,"Zhang, Quan; Lei, Hui-Min; Yang, Da-Wen","Seasonal variations in soil respiration, heterotrophic respiration and autotrophic respiration of a wheat and maize rotation cropland in the North China Plain",1.65,Rh,,,
7689,heterotrophic,"Zhao Zhi-Min; Zhao Cheng-Yi; Yilihamu, Y.; Li Ju-Yan; Li Jun",Contribution of Root Respiration to Total Soil Respiration in a Cotton Field of Northwest China,1.55,Ra,,,
7689,heterotrophic,"Zhao Zhi-Min; Zhao Cheng-Yi; Yilihamu, Y.; Li Ju-Yan; Li Jun",Contribution of Root Respiration to Total Soil Respiration in a Cotton Field of Northwest China,2.17,Rh,,,
7689,heterotrophic,"Zhao Zhi-Min; Zhao Cheng-Yi; Yilihamu, Y.; Li Ju-Yan; Li Jun",Contribution of Root Respiration to Total Soil Respiration in a Cotton Field of Northwest China,1.89,Rs,,,
7721,heterotrophic,"Liu, Ying; Han, Shijie","Diurnal and seasonal variations in soil respiration in a temperate broad-leaved Korean Pine forest, China",2.42,Rh,,,
7721,heterotrophic,"Liu, Ying; Han, Shijie","Diurnal and seasonal variations in soil respiration in a temperate broad-leaved Korean Pine forest, China",2.4,Rs,,,
7721,heterotrophic,"Liu, Ying; Han, Shijie","Diurnal and seasonal variations in soil respiration in a temperate broad-leaved Korean Pine forest, China",2.5,Rs,,,
7868,heterotrophic,"Sun, Zhenzhong; Liu, Lingli; Ma, Yuecun; Yin, Guodong; Zhao, Chuang; Zhang, Yuan; Piao, Shilong",The effect of nitrogen addition on soil respiration from a nitrogen-limited forest soil,3.63,Ra,control,CK,
7868,heterotrophic,"Sun, Zhenzhong; Liu, Lingli; Ma, Yuecun; Yin, Guodong; Zhao, Chuang; Zhang, Yuan; Piao, Shilong",The effect of nitrogen addition on soil respiration from a nitrogen-limited forest soil,2.85,Rh,control,CK,
7868,heterotrophic,"Sun, Zhenzhong; Liu, Lingli; Ma, Yuecun; Yin, Guodong; Zhao, Chuang; Zhang, Yuan; Piao, Shilong",The effect of nitrogen addition on soil respiration from a nitrogen-limited forest soil,3.24,Rs,control,CK,
8896,heterotrophic,"Wei, Hui; Chen, Xiaomei; Xiao, Guoliang; Guenet, Bertrand; Vicca, Sara; Shen, Weijun",Are variations in heterotrophic soil respiration related to changes in substrate availability and microbial biomass carbon in the subtropical forests?,NA,,,,
10006,heterotrophic,"Yu, Lei; Wang, Yujie; Wang, Yunqi; Sun, Suqi; Liu, Liziyuan","Quantifying Components of Soil Respiration and Their Response to Abiotic Factors in Two Typical Subtropical Forest Stands, Southwest China",NA,,,,
10075,heterotrophic,"Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng",Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China,1.78,Ra,,3y,
10075,heterotrophic,"Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng",Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China,2.06,Ra,,8y,
10075,heterotrophic,"Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng",Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China,1.87,Ra,,15y,
10075,heterotrophic,"Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng",Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China,2.03,Rh,,3y,
10075,heterotrophic,"Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng",Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China,2.1,Rh,,8y,
10075,heterotrophic,"Yan, Meifang; Guo, Nan; Ren, Hongrui; Zhang, Xinshi; Zhou, Guangsheng",Autotrophic and heterotrophic respiration of a poplar plantation chronosequence in northwest China,2.26,Rh,,15y,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.63,Rh,,CK,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.46,Rh,,A1,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.41,Rh,,A2,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.51,Rh,,A3,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.76,Rs,,CK,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.8,Rs,,A1,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.68,Rs,,A2,
10087,heterotrophic,"Chen, Shutao; Zhang, Xu; Liu, Yifan; Hu, Zhenghua; Shen, Xiaoshuai; Ren, Jingquan",Simulated acid rain changed the proportion of heterotrophic respiration in soil respiration in a subtropical secondary forest,2.91,Rs,,A3,
10104,heterotrophic,"Hinko-Najera, Nina; Fest, Benedikt; Livesley, Stephen J.; Arndt, Stefan K.","Reduced throughfall decreases autotrophic respiration, but not heterotrophic respiration in a dry temperate broadleaved evergreen forest",0.87,Ra,control,,
10104,heterotrophic,"Hinko-Najera, Nina; Fest, Benedikt; Livesley, Stephen J.; Arndt, Stefan K.","Reduced throughfall decreases autotrophic respiration, but not heterotrophic respiration in a dry temperate broadleaved evergreen forest",2.16,Rh,control,,
10104,heterotrophic,"Hinko-Najera, Nina; Fest, Benedikt; Livesley, Stephen J.; Arndt, Stefan K.","Reduced throughfall decreases autotrophic respiration, but not heterotrophic respiration in a dry temperate broadleaved evergreen forest",1.34,Rs,control,,
10342,heterotrophic,"Peng, F.; You, Q. G.; Xu, M. H.; Zhou, X. H.; Wang, T.; Guo, J.; Xue, X.",Effects of experimental warming on soil respiration and its components in an alpine meadow in the permafrost region of the Qinghai-Tibet Plateau,3.82,Ra,control,,
10342,heterotrophic,"Peng, F.; You, Q. G.; Xu, M. H.; Zhou, X. H.; Wang, T.; Guo, J.; Xue, X.",Effects of experimental warming on soil respiration and its components in an alpine meadow in the permafrost region of the Qinghai-Tibet Plateau,2.54,Rh,control,,
10342,heterotrophic,"Peng, F.; You, Q. G.; Xu, M. H.; Zhou, X. H.; Wang, T.; Guo, J.; Xue, X.",Effects of experimental warming on soil respiration and its components in an alpine meadow in the permafrost region of the Qinghai-Tibet Plateau,2.87,Rs,control,,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.69,Ra,,broadleaf pine,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,4.95,Ra,,secondary birch,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,5.16,Ra,,larch,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,4.53,Ra,,pine,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.56,Rh,,broadleaf pine,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.46,Rh,,secondary birch,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.39,Rh,,larch,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.34,Rh,,pine,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.66,Rs,,broadleaf pine,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,3.03,Rs,,secondary birch,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.83,Rs,,larch,
10351,heterotrophic,"Shi, Baoku; Gao, Weifeng; Jin, Guangze",Effects on rhizospheric and heterotrophic respiration of conversion from primary forest to secondary forest and plantations in northeast China,2.86,Rs,,pine,
10362,heterotrophic,"Pellegrino, Elisa; Bosco, Simona; Ciccolini, Valentina; Pistocchi, Chiara; Sabbatini, Tiziana; Silvestri, Nicola; Bonari, Enrico","Agricultural abandonment in Mediterranean reclaimed peaty soils: long-term effects on soil chemical properties, arbuscular mycorrhizas and CO2 flux",NA,,,,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.76,Ra,,10S,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.96,Ra,,AC,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.66,Ra,,CH,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,2.59,Ra,,SH,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.94,Rh,,10S,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.65,Rh,,30S,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.57,Rh,,AC,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.73,Rh,,CG,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,2.2,Rh,,EU,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.91,Rh,,SH,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.82,Rs,,10S,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.48,Rs,,30S,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.82,Rs,,AC,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.96,Rs,,CG,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,1.85,Rs,,EU,
10460,heterotrophic,"Yu, Shiqin; Chen, Yuanqi; Zhao, Jie; Fu, Shenglei; Li, Zhian; Xia, Hanping; Zhou, Lixia",Temperature sensitivity of total soil respiration and its heterotrophic and autotrophic components in six vegetation types of subtropical China,2.28,Rs,,SH,
10464,heterotrophic,"Shi, Wei-Yu; Du, Sheng; Morina, Joseph C.; Guan, Jin-Hong; Wang, Kai-Bo; Ma, Ming-Guo; Yamanaka, Norikazu; Tateno, Ryunosuke",Physical and biogeochemical controls on soil respiration along a topographical gradient in a semiarid forest,NA,,,,
10465,heterotrophic,"Wang, Dong; He, Heliang; Gao, Qiao; He, Wei; Zhao, Chunzhang; Yin, Huajun; Liu, Qing",Effects of short-term N addition on soil C fluxes in alpine Sibiraea angustata scrub on the eastern margin of the Qinghai-Tibetan Plateau,NA,,,,
10467,heterotrophic,"Wang, Hui; Liu, Shirong; Wang, Jingxin; Li, Dejun; Shi, Zuomin; Liu, Yanchun; Xu, Jia; Hong, Pizheng; Yu, Haolong; Zhao, Zhang; Ming, Angang; Lu, Lihua; Cai, Daoxiong",Contrasting responses of heterotrophic and root-dependent respiration to soil warming in a subtropical plantation,1.682,Rh,,,
10467,heterotrophic,"Wang, Hui; Liu, Shirong; Wang, Jingxin; Li, Dejun; Shi, Zuomin; Liu, Yanchun; Xu, Jia; Hong, Pizheng; Yu, Haolong; Zhao, Zhang; Ming, Angang; Lu, Lihua; Cai, Daoxiong",Contrasting responses of heterotrophic and root-dependent respiration to soil warming in a subtropical plantation,1.597,Rs,,,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",2.803,Rh,,2013,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",3.656,Rh,,2014,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",3.546,Rh,,2015,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",3.1,Rs,,2012,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",3.805,Rs,,2013,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",3.785,Rs,,2014,
10472,heterotrophic,"Noh, Nam Jin; Kuribayashi, Masatoshi; Saitoh, Taku M.; Muraoka, Hiroyuki","Different responses of soil, heterotrophic and autotrophic respirations to a 4-year soil warming experiment in a cool-temperate deciduous broadleaved forest in central Japan",3.508,Rs,,2015,